;21.00_14.00_23.00_NH3+_C:;22.00_13.00_16.00_NH3+_C:;28.00_15.00_24.00_NH3+_C:;15.00_20.00_18.00_NH3+_LJ:;18.00_9.00_30.00_NH3+_LJ:;21.00_7.00_26.00_NH3+_LJ:;21.00_11.00_22.00_NH3+_LJ:;22.00_10.00_18.00_NH3+_LJ:;22.00_21.00_19.00_NH3+_LJ:;25.00_10.00_24.00_NH3+_LJ:;28.00_17.00_18.00_NH3+_LJ:
Mol31_PAC_aligned;24.5627967728426;-41.4829998249992;17.170891716666283;1.8645671825743448;-0.0275852101490028;-0.2766010633534415;148.55913546426396;134.3420157281014;-1.9621767972335824;144.824383972235;-1.4505371780526553
Mol32_PAC_aligned;23.02711855721359;-10.656954357164697;19.213541254936587;3.2012238500219965;-0.0158399810479877;-0.1151380638233768;-0.2674299021542572;137.28864989735442;-3.1699897552717444;128.23645936440832;136.9591394208087
Mol33_PAC_aligned;9.99457871222501;-49.00446536177408;4.689521645221346;1.0958909494706908;-0.0051797477273098;-0.0123316955912189;-0.3540853923692533;-0.5986647204211243;-4.610665117897759;-0.055637505383555;128.21712849286249
Mol34_PAC_aligned;38.31648311305839;13.74625321187269;9.848348396326818;6.106741093023572;-0.008250294707525902;-0.0369589674052421;-1.2065935061361073;10.235735620219812;-3.3295931049122784;-0.6935694614541748;139.45727426239333
Mol35_PAC_aligned;29.02103383982964;17.61052013907419;12.48924321132582;1.3743544552263869;-0.0153484814975951;-0.11974313559784698;8.163014607573423;29.55520964417963;-2.763608750114732;69.21850494334815;128.77164174145554
Mol36_PAC_aligned;31.181891166244807;40.54549063122092;12.2664600105801;0.3381128649852748;-0.006466556061394;-0.0211344117834718;-0.5784503900483334;-2.366609176085304;-3.174355820869444;-0.2049015039744843;15.100298250407032
Mol37_PAC_aligned;30.261242711549677;6.422721643485886;20.497702156849307;3.0046933996855505;-0.0193688692692471;-0.0747405326741233;-1.5020821066714931;-1.5212211982028814;-3.0246957946773727;-2.73339051235049;39.65916046259892
Mol38_PAC_aligned;-47.807145579179775;52.95103376282236;40.52674531596994;3.087402173460097;-0.3414258025107973;-2.357725170017532;136.98029124998186;144.42390564836512;-2.4709473879410555;-4.551006803670975;-0.5846205677202208
Mol39_PAC_aligned;22.79301163854609;-22.4047258601278;15.970143039987846;0.42725261772189044;-0.0067030927109777;-0.0171414355422308;-0.5397941308162777;-0.620668660080623;-3.2161778454331778;-0.1307209171776361;136.25337795228384
Mol40_PAC_aligned;36.35078202234348;-14.4218311812496;20.810708460053878;0.1068787382435364;-0.0099278566183041;-0.0396386869158877;-0.8744604166411365;-0.8053420060203539;-2.5930089032012957;-2.061795593040032;152.44846780568622
Mol41_PAC_aligned;18.156383550448783;-114.23439596346157;19.932432500154103;2.689550100928165;-0.0421779495102959;-0.3712964632259921;135.73586026000385;133.85675597990348;-2.0818605258874907;142.15320605910827;-1.2658371313548975
